WWTP,Locality,Code postal
Beggen,Bereldange,7241
Beggen,Bereldange,7245
Beggen,Bertrange,8011
Beggen,Bertrange,8041
Beggen,Bertrange,8050
Beggen,Bertrange,8051
Beggen,Bertrange,8052
Beggen,Bertrange,8053
Beggen,Bertrange,8054
Beggen,Bertrange,8055
Beggen,Bertrange,8057
Beggen,Bertrange,8058
Beggen,Bertrange,8059
Beggen,Bertrange,8061
Beggen,Bertrange,8062
Beggen,Bertrange,8063
Beggen,Bertrange,8064
Beggen,Bertrange,8065
Beggen,Bertrange,8066
Beggen,Bertrange,8067
Beggen,Bertrange,8068
Beggen,Bertrange,8069
Beggen,Bertrange,8070
Beggen,Bertrange,8071
Beggen,Bertrange,8072
Beggen,Bertrange,8074
Beggen,Bertrange,8075
Beggen,Bertrange,8076
Beggen,Bertrange,8077
Beggen,Bertrange,8078
Beggen,Bertrange,8079
Beggen,Bertrange,8080
Beggen,Bertrange,8081
Beggen,Bertrange,8082
Beggen,Bertrange,8083
Beggen,Bertrange,8084
Beggen,Bertrange,8085
Beggen,Bertrange,8086
Beggen,Bertrange,8087
Beggen,Bertrange,8088
Beggen,Bertrange,8089
Beggen,Bertrange,8090
Beggen,Bertrange,8091
Beggen,Bertrange,8092
Beggen,Bertrange,8093
Beggen,Bertrange,8094
Beggen,Bertrange,8095
Beggen,Bertrange,8096
Beggen,Bertrange,8117
Beggen,Bertrange,8268
Beggen,Findel,1319
Beggen,Findel,1523
Beggen,Findel,1751
Beggen,Findel,2220
Beggen,Findel,2632
Beggen,Leudelange,3345
Beggen,Leudelange,3346
Beggen,Leudelange,3347
Beggen,Leudelange,3348
Beggen,Leudelange,3349
Beggen,Leudelange,3350
Beggen,Leudelange,3351
Beggen,Leudelange,3352
Beggen,Leudelange,3353
Beggen,Leudelange,3354
Beggen,Leudelange,3355
Beggen,Leudelange,3356
Beggen,Leudelange,3357
Beggen,Leudelange,3358
Beggen,Leudelange,3360
Beggen,Leudelange,3361
Beggen,Leudelange,3362
Beggen,Leudelange,3363
Beggen,Leudelange,3364
Beggen,Leudelange,3365
Beggen,Leudelange,3366
Beggen,Leudelange,3367
Beggen,Leudelange,3368
Beggen,Leudelange,3369
Beggen,Leudelange,3370
Beggen,Leudelange,3371
Beggen,Leudelange,3372
Beggen,Leudelange,3373
Beggen,Leudelange,3374
Beggen,Leudelange,3375
Beggen,Leudelange,3376
Beggen,Leudelange,3377
Beggen,Luxembourg,1111
Beggen,Luxembourg,1112
Beggen,Luxembourg,1113
Beggen,Luxembourg,1114
Beggen,Luxembourg,1115
Beggen,Luxembourg,1116
Beggen,Luxembourg,1117
Beggen,Luxembourg,1118
Beggen,Luxembourg,1119
Beggen,Luxembourg,1120
Beggen,Luxembourg,1121
Beggen,Luxembourg,1122
Beggen,Luxembourg,1123
Beggen,Luxembourg,1124
Beggen,Luxembourg,1125
Beggen,Luxembourg,1126
Beggen,Luxembourg,1127
Beggen,Luxembourg,1128
Beggen,Luxembourg,1129
Beggen,Luxembourg,1130
Beggen,Luxembourg,1131
Beggen,Luxembourg,1132
Beggen,Luxembourg,1133
Beggen,Luxembourg,1134
Beggen,Luxembourg,1135
Beggen,Luxembourg,1136
Beggen,Luxembourg,1138
Beggen,Luxembourg,1139
Beggen,Luxembourg,1140
Beggen,Luxembourg,1141
Beggen,Luxembourg,1142
Beggen,Luxembourg,1143
Beggen,Luxembourg,1144
Beggen,Luxembourg,1145
Beggen,Luxembourg,1146
Beggen,Luxembourg,1147
Beggen,Luxembourg,1148
Beggen,Luxembourg,1149
Beggen,Luxembourg,1150
Beggen,Luxembourg,1151
Beggen,Luxembourg,1152
Beggen,Luxembourg,1159
Beggen,Luxembourg,1160
Beggen,Luxembourg,1161
Beggen,Luxembourg,1208
Beggen,Luxembourg,1210
Beggen,Luxembourg,1211
Beggen,Luxembourg,1212
Beggen,Luxembourg,1213
Beggen,Luxembourg,1214
Beggen,Luxembourg,1215
Beggen,Luxembourg,1217
Beggen,Luxembourg,1218
Beggen,Luxembourg,1219
Beggen,Luxembourg,1220
Beggen,Luxembourg,1221
Beggen,Luxembourg,1222
Beggen,Luxembourg,1224
Beggen,Luxembourg,1225
Beggen,Luxembourg,1226
Beggen,Luxembourg,1227
Beggen,Luxembourg,1229
Beggen,Luxembourg,1230
Beggen,Luxembourg,1233
Beggen,Luxembourg,1234
Beggen,Luxembourg,1235
Beggen,Luxembourg,1236
